Title,Author,Fiction or Non-Fiction,Genre,Type,Length,Serial
Against Destiny Echo,Olivia Davis,Fiction,Adventure,Short Story,469,1944
Against Gone Eternal,Mia Rodriguez,Fiction,Horror,Poetry,325,1723
Echo Fate Without,William Brown,Fiction,Adventure,Short Story,282,1942
Gone Against Journey,Emma Jones,Non-Fiction,Romance,Short Story,452,2344
Found Dream Lost,Sophia Martinez,Non-Fiction,Fantasy,Novel,410,2204
Whisper Without Shadows,Charlotte Miller,Non-Fiction,Romance,Poetry,66,2320
Against Beyond Shadows,Charlotte Rodriguez,Non-Fiction,Mystery,Novel,82,2000
Journey Echo Against,Emma Williams,Fiction,Romance,Novel,343,1303
Found Lost Without,Mia Rodriguez,Non-Fiction,Fantasy,Short Story,389,2243
Echo The Within,Michael Martinez,Fiction,Dystopian,Poetry,480,1543
